algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
Uniform,0.071,557,6,13,ACB#D#E##,446,2084
IterativeDeepening,0.182,88,6,14,ACB#D#E##,3625,31748
BFS,0.093,1640,7,16,EADC#B###,5674,27467
DFS,0.095,407,68,122,EADC#B###,145,650
Uniform,0.102,510,7,16,EADC#B###,493,2131
IterativeDeepening,1.07,615,7,16,EADC#B###,200622,240274
BFS,0.057,2583,5,11,BE#DC#A##,2904,17677
DFS,0.063,528,13,26,BE#DC#A##,466,1897
Uniform,0.071,581,6,12,BE#DC#A##,422,2060
IterativeDeepening,0.144,259,5,11,BE#DC#A##,16588,22344
BFS,0.053,2758,5,13,DBA#C#E##,2116,13838
DFS,0.056,411,66,113,DBA#C#E##,153,663
Uniform,0.064,583,5,13,DBA#C#E##,420,2058
IterativeDeepening,0.114,198,5,13,DBA#C#E##,9837,13341
BFS,0.013,1109,4,10,ECD#AB###,293,2432
DFS,0.022,533,14,26,ECD#AB###,445,1756
Uniform,0.033,553,4,10,ECD#AB###,316,1808
IterativeDeepening,0.036,43,4,10,ECD#AB###,438,644
BFS,0.059,1314,5,12,CA#B#D#E#,3192,16380
DFS,0.063,486,55,99,CA#B#D#E#,252,1001
Uniform,0.07,505,5,12,CA#B#D#E#,498,2136
IterativeDeepening,0.241,777,5,12,CA#B#D#E#,37393,50785
BFS,0.039,2868,5,12,DCB#EA###,1613,11622
DFS,0.043,534,48,86,DCB#EA###,330,1271
Uniform,0.05,600,5,12,DCB#EA###,395,2025
IterativeDeepening,0.078,113,5,12,DCB#EA###,6479,7908
BFS,0.073,1501,6,13,BCA#D#E##,4452,22434
DFS,0.077,511,51,91,BCA#D#E##,291,1128
Uniform,0.083,555,6,13,BCA#D#E##,448,2086
IterativeDeepening,0.614,1034,6,13,BCA#D#E##,101130,130198
BFS,0.04,2678,5,13,AE#DB#C##,2096,13583
DFS,0.042,260,44,81,AE#DB#C##,62,324
Uniform,0.048,572,5,13,AE#DB#C##,431,2069
IterativeDeepening,0.092,206,5,13,AE#DB#C##,7713,13317
BFS,0.028,2328,4,10,DC#EB#A##,1025,7720
DFS,0.035,454,65,117,DC#EB#A##,196,813
Uniform,0.042,604,4,10,DC#EB#A##,385,2009
IterativeDeepening,0.056,123,4,10,DC#EB#A##,2853,3616
BFS,0.08,2622,6,15,DAE#CB###,3736,21762
DFS,0.085,544,38,68,DAE#CB###,374,1453
Uniform,0.091,543,6,15,DAE#CB###,460,2098
IterativeDeepening,0.253,286,6,15,DAE#CB###,35862,46650
BFS,0.067,2867,6,13,DCA#BE###,3616,21569
DFS,0.073,530,18,34,DCA#BE###,456,1871
Uniform,0.081,581,7,14,DCA#BE###,422,2060
IterativeDeepening,0.199,196,6,13,DCA#BE###,24948,35651
BFS,0.05,3032,6,14,ACB#ED###,2362,15648
DFS,0.053,432,78,135,ACB#ED###,158,694
Uniform,0.061,601,6,12,ACB#ED###,392,2020
IterativeDeepening,0.114,89,6,14,ACB#ED###,5866,16456
BFS,0.036,2735,6,14,EDAB#C###,1424,10440
DFS,0.043,535,15,28,EDAB#C###,449,1770
Uniform,0.05,585,6,14,EDAB#C###,418,2056
IterativeDeepening,0.075,59,6,14,EDAB#C###,2130,6988
BFS,0.09,1503,6,14,DEA#B#C##,5017,24790
DFS,0.091,120,15,29,DEA#B#C##,26,134
Uniform,0.098,534,6,14,DEA#B#C##,469,2107
IterativeDeepening,0.751,889,6,14,DEA#B#C##,113100,140736
BFS,0.095,3011,6,15,DBC#AE###,3067,19092
DFS,0.098,297,52,94,DBC#AE###,81,395
Uniform,0.105,579,6,14,DBC#AE###,424,2062
IterativeDeepening,0.198,181,6,15,DBC#AE###,16763,27446
BFS,0.003,452,3,9,ABC#DE###,100,797
DFS,0.01,506,3,9,ABC#DE###,494,2094
Uniform,0.016,543,3,9,ABC#DE###,238,1486
IterativeDeepening,0.018,23,3,9,ABC#DE###,141,178
BFS,0.088,2492,6,15,DEB#AC###,4285,23843
DFS,0.095,538,26,48,DEB#AC###,402,1554
Uniform,0.102,542,6,15,DEB#AC###,461,2099
IterativeDeepening,0.324,422,6,15,DEB#AC###,55512,66436
BFS,0.074,2388,7,17,DACB#E###,3821,21585
DFS,0.08,541,33,59,DACB#E###,387,1496
Uniform,0.087,558,7,15,DACB#E###,445,2083
IterativeDeepening,0.287,117,7,17,DACB#E###,18143,57297
BFS,0.064,1806,6,13,BC#DA#E##,3943,20829
DFS,0.068,435,68,121,BC#DA#E##,165,724
Uniform,0.075,569,6,13,BC#DA#E##,434,2072
IterativeDeepening,0.335,489,6,13,BC#DA#E##,35621,80606
BFS,0.065,2648,5,13,DA#EB#C##,2073,13475
DFS,0.07,415,72,126,DA#EB#C##,141,648
Uniform,0.079,573,5,13,DA#EB#C##,430,2068
IterativeDeepening,0.145,218,5,13,DA#EB#C##,8423,14135
BFS,0.118,1655,7,16,DAC#BE###,5864,28305
DFS,0.124,510,61,112,DAC#BE###,266,1032
Uniform,0.133,552,7,15,DAC#BE###,451,2089
IterativeDeepening,1.183,845,7,16,DAC#BE###,173872,261533
BFS,0.086,1556,6,13,BDE#A#C##,4972,24708
DFS,0.089,406,71,130,BDE#A#C##,142,637
Uniform,0.097,542,6,14,BDE#A#C##,461,2099
IterativeDeepening,0.554,969,6,13,BDE#A#C##,108800,137144
BFS,0.036,2176,4,9,DC#A#B#E#,1949,12137
DFS,0.04,486,50,94,DC#A#B#E#,258,993
Uniform,0.048,603,4,9,DC#A#B#E#,400,2038
IterativeDeepening,0.086,285,4,9,DC#A#B#E#,8710,10429
BFS,0.086,1470,6,14,CE#DA#B##,4766,23569
DFS,0.089,365,59,108,CE#DA#B##,109,515
Uniform,0.098,506,6,14,CE#DA#B##,497,2135
IterativeDeepening,0.605,1356,6,14,CE#DA#B##,104349,152075
BFS,0.021,2041,5,12,EDBA#C###,743,5896
DFS,0.027,542,22,41,EDBA#C###,432,1692
Uniform,0.035,572,5,12,EDBA#C###,341,1889
IterativeDeepening,0.045,61,5,12,EDBA#C###,1746,2417
BFS,0.077,1891,6,13,BEC#A#D##,4302,22522
DFS,0.082,525,53,97,BEC#A#D##,301,1154
Uniform,0.09,559,6,13,BEC#A#D##,444,2082
IterativeDeepening,0.365,464,6,13,BEC#A#D##,53842,81685
BFS,0.053,1477,5,11,CD#A#B#E#,3134,16255
DFS,0.056,466,61,111,CD#A#B#E#,224,893
Uniform,0.062,533,5,12,CD#A#B#E#,470,2108
IterativeDeepening,0.216,638,5,11,CD#A#B#E#,31394,44840
BFS,0.059,2567,5,11,AD#EC#B##,2898,17635
DFS,0.064,538,27,51,AD#EC#B##,402,1548
Uniform,0.071,581,6,12,AD#EC#B##,422,2060
IterativeDeepening,0.146,246,5,11,AD#EC#B##,15879,21526
BFS,0.089,1754,7,15,BECD#A###,5396,26829
DFS,0.094,514,57,103,BECD#A###,282,1086
Uniform,0.1,514,7,16,BECD#A###,489,2127
IterativeDeepening,0.858,493,7,15,BECD#A###,136571,176086
BFS,0.103,1662,7,15,BADE#C###,5001,24935
DFS,0.111,480,62,115,BADE#C###,234,932
Uniform,0.121,579,7,15,BADE#C###,424,2062
IterativeDeepening,0.747,493,7,15,BADE#C###,136814,176329
BFS,0.087,1847,6,13,DAC#B#E##,4172,21943
DFS,0.094,541,32,57,DAC#B#E##,385,1492
Uniform,0.103,557,6,13,DAC#B#E##,446,2084
IterativeDeepening,0.469,480,6,13,DAC#B#E##,53812,81678
BFS,0.0,190,2,7,ABC#D#E##,33,265
DFS,0.013,504,2,7,ABC#D#E##,498,2110
Uniform,0.019,572,2,7,ABC#D#E##,209,1406
IterativeDeepening,0.02,20,2,7,ABC#D#E##,33,46
BFS,0.068,2935,6,15,CAE#DB###,3024,18859
DFS,0.073,548,33,59,CAE#DB###,386,1475
Uniform,0.08,533,6,15,CAE#DB###,470,2108
IterativeDeepening,0.178,174,6,15,CAE#DB###,16770,27446
BFS,0.039,2184,4,9,EC#A#B#D#,1950,12148
DFS,0.043,517,49,91,EC#A#B#D#,299,1133
Uniform,0.05,614,4,9,EC#A#B#D#,389,2027
IterativeDeepening,0.085,285,4,9,EC#A#B#D#,8710,10429
BFS,0.076,1455,6,13,BA#CD#E##,4604,22945
DFS,0.081,527,64,115,BA#CD#E##,293,1142
Uniform,0.087,535,6,13,BA#CD#E##,468,2106
IterativeDeepening,0.633,1094,6,13,BA#CD#E##,90125,135711
BFS,0.079,1549,6,13,AE#BC#D##,4577,22974
DFS,0.084,538,31,57,AE#BC#D##,376,1432
Uniform,0.09,576,6,13,AE#BC#D##,427,2065
IterativeDeepening,0.508,1006,6,13,AE#BC#D##,78597,124099
BFS,0.018,1859,5,12,DCBE#A###,646,5167
DFS,0.022,473,62,113,DCBE#A###,229,911
Uniform,0.03,585,5,12,DCBE#A###,354,1928
IterativeDeepening,0.039,61,5,12,DCBE#A###,1498,2174
BFS,0.077,1503,6,14,DEA#B#C##,5017,24790
DFS,0.078,120,15,29,DEA#B#C##,26,134
Uniform,0.085,534,6,14,DEA#B#C##,469,2107
IterativeDeepening,0.554,889,6,14,DEA#B#C##,113100,140736
BFS,0.081,2025,7,17,DAB#CE###,5005,25952
DFS,0.083,286,48,88,DAB#CE###,72,361
Uniform,0.089,507,7,17,DAB#CE###,496,2134
IterativeDeepening,0.547,361,7,17,DAB#CE###,48333,135511
BFS,0.093,1409,6,14,AED#B#C##,4870,23961
DFS,0.099,544,21,41,AED#B#C##,438,1720
Uniform,0.105,526,6,14,AED#B#C##,477,2115
IterativeDeepening,0.6,1115,6,14,AED#B#C##,120810,149958
BFS,0.082,1441,6,14,BA#CE#D##,4718,23375
DFS,0.088,525,9,18,BA#CE#D##,469,1892
Uniform,0.095,512,6,14,BA#CE#D##,491,2129
IterativeDeepening,0.572,1173,6,14,BA#CE#D##,98168,143835
BFS,0.087,1577,7,15,BCAE#D###,5299,25821
DFS,0.092,552,33,60,BCAE#D###,396,1511
Uniform,0.099,563,7,15,BCAE#D###,440,2078
IterativeDeepening,0.887,601,7,15,BCAE#D###,180890,220514
BFS,0.11,1625,7,16,CED#BA###,5840,28205
DFS,0.12,521,8,16,CED#BA###,473,1927
Uniform,0.131,512,7,16,CED#BA###,491,2129
IterativeDeepening,1.013,840,7,16,CED#BA###,173877,261533
BFS,0.123,2535,5,12,CDB#A#E##,1375,9686
DFS,0.135,544,22,42,CDB#A#E##,426,1657
Uniform,0.153,590,5,12,CDB#A#E##,413,2051
IterativeDeepening,0.209,93,5,12,CDB#A#E##,2735,6135
BFS,0.083,2712,5,13,CD#EB#A##,2108,13687
DFS,0.092,546,61,111,CD#EB#A##,316,1187
Uniform,0.104,577,5,13,CD#EB#A##,426,2064
IterativeDeepening,0.183,217,5,13,CD#EB#A##,8424,14135
BFS,0.147,1859,7,17,DABE#C###,5005,25547
DFS,0.152,286,48,88,DABE#C###,74,365
Uniform,0.166,518,8,16,DABE#C###,485,2123
IterativeDeepening,0.942,458,7,17,DABE#C###,106726,146221
BFS,0.028,1842,4,11,DB#A#C#E#,776,5705
DFS,0.033,543,66,114,DB#A#C#E#,295,1148
Uniform,0.045,594,4,11,DB#A#C#E#,409,2047
IterativeDeepening,0.058,73,4,11,DB#A#C#E#,723,2220
BFS,0.091,2863,5,13,ABD#CE###,1514,11105
DFS,0.104,540,60,101,ABD#CE###,302,1182
Uniform,0.133,597,5,12,ABD#CE###,384,2000
IterativeDeepening,0.192,85,5,13,ABD#CE###,4967,6363
BFS,0.085,2666,6,15,CBD#EA###,3764,21923
DFS,0.091,549,39,69,CBD#EA###,377,1455
Uniform,0.108,572,6,14,CBD#EA###,431,2069
IterativeDeepening,0.271,266,6,15,CBD#EA###,35882,46650
BFS,0.086,1755,6,13,EAC#B#D##,4428,22849
DFS,0.093,548,32,57,EAC#B#D##,390,1495
Uniform,0.103,560,6,13,EAC#B#D##,443,2081
IterativeDeepening,0.443,621,6,13,EAC#B#D##,68592,95963
BFS,0.09,1802,7,14,BCE#AD###,5364,26931
DFS,0.096,547,30,55,BCE#AD###,395,1511
Uniform,0.103,557,7,15,BCE#AD###,446,2084
IterativeDeepening,0.751,613,7,14,BCE#AD###,95989,183409
BFS,0.071,1940,6,12,ACD#B#E##,3761,20308
DFS,0.077,513,65,115,ACD#B#E##,263,1041
Uniform,0.084,593,6,12,ACD#B#E##,410,2048
IterativeDeepening,0.328,516,6,12,ACD#B#E##,43243,71788
BFS,0.044,1577,4,10,ABD#C#E##,556,4382
DFS,0.056,532,15,28,ABD#C#E##,450,1808
Uniform,0.064,602,4,10,ABD#C#E##,377,1991
IterativeDeepening,0.072,65,4,10,ABD#C#E##,1109,1577
BFS,0.076,2997,6,15,EBDC#A###,2903,18244
DFS,0.08,337,58,104,EBDC#A###,97,467
Uniform,0.087,561,6,15,EBDC#A###,442,2080
IterativeDeepening,0.175,171,6,15,EBDC#A###,19950,24921
BFS,0.037,2911,5,12,ECB#AD###,1626,11729
DFS,0.041,469,63,113,ECB#AD###,219,882
Uniform,0.049,601,5,12,ECB#AD###,382,2000
IterativeDeepening,0.078,113,5,12,ECB#AD###,6479,7908
BFS,0.082,1891,6,13,BEC#A#D##,4302,22522
DFS,0.088,525,53,97,BEC#A#D##,301,1154
Uniform,0.096,559,6,13,BEC#A#D##,444,2082
IterativeDeepening,0.534,464,6,13,BEC#A#D##,53842,81685
BFS,0.121,2178,7,15,BEAC#D###,4059,22244
DFS,0.125,538,73,127,BEAC#D###,286,1119
Uniform,0.133,540,7,16,BEAC#D###,463,2101
IterativeDeepening,0.373,121,7,15,BEAC#D###,26362,65506
BFS,0.091,1754,7,15,BECD#A###,5396,26829
DFS,0.095,514,57,103,BECD#A###,282,1086
Uniform,0.101,514,7,16,BECD#A###,489,2127
IterativeDeepening,0.716,493,7,15,BECD#A###,136571,176086
BFS,0.07,1827,6,13,AC#BD#E##,4020,21131
DFS,0.075,530,44,78,AC#BD#E##,330,1258
Uniform,0.082,545,6,13,AC#BD#E##,458,2096
IterativeDeepening,0.377,465,6,13,AC#BD#E##,35653,80614
BFS,0.135,1628,7,15,CDAE#B###,5662,27518
DFS,0.14,464,59,108,CDAE#B###,220,875
Uniform,0.15,551,7,15,CDAE#B###,452,2090
IterativeDeepening,1.027,608,7,15,CDAE#B###,192516,232142
BFS,0.058,2317,5,13,CB#EA#D##,3087,18102
DFS,0.064,542,41,75,CB#EA#D##,366,1421
Uniform,0.072,574,5,13,CB#EA#D##,429,2067
IterativeDeepening,0.187,470,5,13,CB#EA#D##,26565,32433
BFS,0.059,2185,5,11,DC#EA#B##,3390,19182
DFS,0.063,464,58,107,DC#EA#B##,222,881
Uniform,0.072,593,5,11,DC#EA#B##,410,2048
IterativeDeepening,0.222,559,5,11,DC#EA#B##,35508,41564
BFS,0.062,1477,5,11,CD#A#B#E#,3134,16255
DFS,0.066,466,61,111,CD#A#B#E#,224,893
Uniform,0.073,533,5,12,CD#A#B#E#,470,2108
